,ERR9954784,SRR10754133,SRR2973693,SRR4436359,GSM697598,GSM896836
ADGRF4,1.179762697,2.987056188,0.27624204,4.734023305,2.936329932,0.227130481
ADGRG1,3.804900035,3.986685941,0.419561523,3.468481971,12.2608511,0.302608791
ADGRG2,0.708137983,1.265128527,0.397313426,0.102967586,3.765888151,2.493709484
ADGRG3,0.412610498,0.6510758,0.077540934,0.231357971,5.354821069,-0.208292798
ADGRG6,1.920425847,4.531119909,0.059673223,3.312505252,6.312658583,3.864240334
ADGRL1,0.590330362,1.317896949,1.959013461,0.897814502,10.53622505,0.292180908
ADGRL2,0.062630684,1.578770142,2.53478355,2.390892826,9.151884947,0.74170358
ADGRL3,0,0.025297929,0.208956536,0.105047164,1.163353011,-0.137753721
ADGRV1,0.045047556,0.374728165,0.022714231,0.103069443,2.949114065,-0.09286536
ADH1C,0,0.740595136,0.423298248,0.110451025,6.649292482,-0.388910453
ADH5,3.358839352,4.087806048,5.627067787,6.813358923,8.63163433,1.687237475
ADHFE1,0,0,0.33892125,0.103193117,1.853082042,0.147608184
ADI1,5.157389789,4.909920014,3.891838398,3.980260746,9.821618078,2.742885577
ADIPOR1,6.523159001,6.537982937,4.285811503,6.55847331,11.94312509,3.527081583
ADIPOR2,3.544776649,6.315398733,3.085148578,4.864187629,11.35812696,5.332331065
ADIRF,0,0,0,0,6.373081534,-0.085536201
ADISSP,6.887698127,5.686259468,3.106871626,4.239998085,7.605287935,4.64486826
ADK,3.065160224,3.025182332,3.42703144,4.94816535,10.75349916,0.12727783
ADM,4.443784634,7.564170728,5.934845914,5.200317391,13.32075014,5.925151111
ADNP,1.919299007,4.459958166,3.081803095,3.563489524,11.51518632,1.231664775
ADNP2,0.64974508,1.943576573,2.57657485,3.959393217,5.210126208,4.180869028
ADO,0.651321034,3.11316157,2.835519399,3.370550402,7.212010647,3.689752588
ADORA2B,2.358803453,2.169999893,0.996224083,4.724850131,9.724470985,2.86201192
ADPGK,3.362859934,4.765341107,3.304041738,3.902064636,7.726793948,-0.562876469
ADPRH,0,1.379423926,2.063098278,1.363975678,3.057280746,0.234544362
ADPRHL1,1.511839386,1.937360221,0.491951481,0.110557282,7.463360617,0.265136766
ADPRM,1.909843386,1.994924577,2.361547383,2.818146114,7.246298419,1.801240538
ADPRS,1.201321305,3.867007733,4.887896518,6.498775662,7.745875597,2.680467584
ADRA1B,1.435299524,0.505305435,0.227185414,0.996307097,10.14242928,2.240916929
ADRB1,0,0.334107812,0,0.294727837,3.648201955,-0.213586977
ADRB2,0,0,1.222266364,5.315472537,10.62963452,0.48903811
ADRM1,3.002047912,5.907687244,4.516203688,5.705643131,11.60347621,3.657406308
ADSL,1.325405623,1.246984235,1.210975997,1.031807773,9.750960571,5.8383748
ADSS1,0.952889331,2.199205629,0.832116095,2.537718539,8.437620125,-0.068517556
ADSS2,2.655302449,3.688318292,4.357352385,4.184169478,8.189462531,4.39699603
AEBP2,0.397258812,2.135347325,2.140778204,2.3553499,8.54237502,3.08820725
AEN,2.456200405,4.931134792,3.243712885,3.735788144,5.699961221,5.125843823
AFAP1,0.279986627,0.70707383,3.164410565,2.914324796,2.766485806,0.082848692
AFAP1L1,0.575297017,1.267082057,2.369486634,3.75578326,6.325046065,-0.08869935
AFF1,0.753246134,2.416379519,4.133095896,3.2891823,4.058568015,0.25019355
AFF3,0,0,0.016345923,0.022833184,2.998835137,-0.262847021
AFF4,1.94589815,4.556739029,4.65358725,4.569675793,8.287264684,3.510018037
AFG1L,0.174311251,0.325189823,0.677809275,1.151812147,5.958693825,-0.574323931
AFG2A,0.29909747,0.69920494,2.33724967,2.147016039,5.196196701,0.258207423
AFG2B,0.961527073,2.420033375,1.706920634,3.040170936,10.03713131,3.030618762
AFG3L2,1.487842093,1.999181347,2.368355033,3.637769605,8.081694552,4.397881117
AFMID,2.667435195,1.835406641,1.430935183,2.88250751,5.984533286,-0.108544696
AFTPH,2.308118693,5.178593553,2.804742379,3.38535441,11.9603122,0.883937815
AGA,2.66752852,4.516582356,3.783885375,3.408043034,8.110578712,3.332802296
AGAP1,0.621437805,1.157240301,2.009814404,1.494844952,9.377100316,0.054685635
AGAP3,0.963037778,2.193655502,1.635008522,3.632237579,8.92753597,1.150707784
AGBL1,0,0,0,0.032476266,4.150352778,-0.257231805
AGBL2,1.466111371,2.265350741,1.009070284,1.476919837,8.220242951,-0.223711258
AGBL3,0,0.784549798,0.621667134,0.470544966,4.651471034,-0.232977211
AGBL4,0,0,0,0,2.391310436,-0.558004375
AGBL5,3.946440185,3.994641445,2.22996525,3.599067803,10.77470588,0.257251769
AGER,2.036290583,5.337667451,1.734626457,1.361334378,12.28692907,-0.178362348
AGFG1,1.446663897,3.405709691,2.990218252,4.561456014,8.433776811,-0.191551831
AGFG2,1.243997145,1.424323896,1.395211623,1.734685103,3.781774692,-0.253608117
AGGF1,1.188464359,2.333286789,2.274945749,1.887660718,8.857624729,1.455843962
AGK,1.324384969,1.834532683,1.453853023,2.765773328,4.862088286,3.880227816
AGL,0.336880744,2.268685703,3.06512867,2.840831048,8.15859555,-0.030831443
AGMAT,2.042446144,1.480873573,1.069215407,1.331936607,5.525456011,1.331388385
AGO1,0.688060861,1.280169629,2.393722637,2.014733839,5.603259128,2.525211706
AGO2,0.857839193,2.93483613,2.492808882,2.785659877,5.869787653,3.923874625
AGO3,0.438285601,0.785616514,1.550092062,1.807936942,9.158302696,0.79793004
AGO4,0.366287005,1.338690261,2.030336539,2.97265362,4.499905671,0.30985534
AGPAT1,3.851534997,3.468020427,3.164604122,3.083475353,12.06013072,-0.176591197
AGPAT2,5.127726196,5.037619234,2.798469896,5.2051285,6.506168831,3.069615718
AGPAT3,1.986113147,3.259187074,3.196047735,3.278731507,8.70823271,0.210935745
AGPAT4,0.104691002,0.473993807,1.396039521,1.732952434,4.30903631,0.808710171
AGPAT5,3.363068781,4.542828714,1.720338701,2.770620645,9.703103919,2.76864856
AGPS,1.040558823,3.331913978,2.293305474,2.912258189,9.40906644,3.907786712
AGR2,6.253488758,10.25026133,0,3.067897382,7.342198052,1.30313983
AGR3,0,0,0,0.07629766,2.388357377,-0.067820506
AGRN,2.556967501,6.024613742,4.557290486,5.611305227,8.742629842,0.033870889
AGRP,0,0,0.781148079,0.461756979,3.785659762,-0.144601952
AGT,0,0.501440977,0.325970788,0.048941753,5.587060934,-0.193549296
AGTPBP1,1.563049724,2.858687395,2.264064143,2.835177089,5.271058341,0.627158838
AGTRAP,4.845722668,4.550990889,4.308084577,6.113741623,6.259890016,2.725367693
AHCTF1,0.835051026,3.64611214,2.577260586,3.467342942,10.45282614,-0.071150167
AHCY,6.220223588,6.774372782,3.588152419,6.588412221,12.73859345,6.993807305
AHCYL1,2.885904333,4.749558426,4.527674816,4.94883948,11.14454166,5.469945317
AHCYL2,1.601961416,2.641639472,2.266823065,2.402357552,6.66286967,1.578356109
AHDC1,0.601382216,0.869667003,2.426864327,1.755884391,8.412675479,0.368621307
AHI1,0.226210867,0.85633829,1.0809801,0.248868429,8.245863253,2.658336949
AHNAK,1.346550284,4.150708837,7.654994327,7.999304252,9.297519708,2.756035799
AHNAK2,1.019877134,2.178471332,3.547647585,6.784528655,3.355586725,-0.196037582
AHR,1.046800673,1.883116145,4.159159489,3.094972553,11.29886648,2.299279029
AHRR,0.294330999,0.222902644,0.401437093,0.046877227,6.255509835,-0.22741044
AHSA1,6.119017765,8.925934087,4.391852166,5.739577451,13.18637181,4.850461108
AHSG,0,0.162373723,0,0.190661049,5.103668281,0.11839468
AIF1L,0.855803893,1.06763533,0.047904376,0.659040569,11.80231903,0.554588852
AIFM1,1.95153078,3.024675927,1.354927736,2.44829205,10.64695469,-0.349676971
AIFM2,2.429496035,3.449157557,2.646373675,1.692236766,9.2693705,1.568256301
AIFM3,0.267766755,0.680097442,0.226585857,0.652069544,4.848243195,-0.035228478
AIG1,1.772945992,2.231042331,2.170342687,3.426510484,9.539238903,1.669444542
AIMP1,2.635573144,3.649418898,2.671792361,2.495666455,10.18755685,0.332016993
AIMP2,3.00756302,2.987645007,1.940438864,4.169162946,9.309807137,5.882656254
AIP,3.33016157,3.445740968,3.259988443,4.448269038,10.83692103,3.615290927
AIRIM,1.962488369,4.055404986,2.007202614,2.967415477,10.31469656,2.928245729
AJUBA,3.703844284,3.893450903,2.59608971,5.880567478,8.175343567,0.422898467
AK1,0.869801355,2.124205227,1.650244444,1.563677458,9.331769393,3.179908931
AK2,2.405675484,2.902945774,2.598936331,4.34520561,10.65885119,1.350517517
AK3,4.625031786,5.213309249,4.688761356,4.863468267,7.058300852,4.586016846
AK4,1.185255392,1.643847477,3.100701986,3.859822759,9.828229486,0.383009277
AK7,0,1.183453205,0.323395937,0.976301979,6.031319902,-0.013509259
AK8,0,0.568822702,0.408762546,0.376371176,3.43017302,0.214233874
AK9,0.510849619,0.748146523,0.614904392,0.275978206,6.035929177,0.162877209
AKAP1,0.487254591,3.514864847,1.784804791,3.088277693,11.23258759,3.002370923
AKAP10,1.076169233,2.678255933,2.618018696,4.005627151,7.108828733,1.492415445
AKAP11,0.623836508,1.557588427,3.577083933,2.411372763,5.520713591,-0.043184249
AKAP12,2.400190845,4.571278644,4.768710006,3.64257707,9.063401174,0.482484104
AKAP13,0.33854642,2.578336231,2.826977419,3.126238785,9.499146021,0.604423811
AKAP17A,4.071619374,5.353664859,2.998051307,3.577604333,12.38174039,3.38095468
AKAP7,0.951765274,1.064907753,1.820433078,1.485225065,8.492797338,-0.04593352
AKAP8,2.394397646,2.770905896,2.514697659,2.994330376,10.14011795,2.876409287
AKAP8L,1.75558692,4.15186871,2.525157368,3.534468124,10.59711866,1.364940931
AKAP9,0.789303991,1.604543739,2.117674447,1.753202479,9.20772882,0.200532979
AKIRIN1,2.719661142,3.939084611,4.32447816,6.033022749,9.672194123,0.977815727
AKIRIN2,3.268959269,3.554392045,2.903778845,4.257542972,9.735832856,4.320820257
AKR1A1,2.149637693,4.424198337,4.54218115,5.726953078,9.520833805,0.926826651
AKR1B1,9.436641539,9.475523773,7.259939258,5.719785679,13.187316,7.892616095
